epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
66,86.5002,0.00051,0.88889,1,0.25952,0.000289656,0.000289656,0.000289656
67,86.8807,0.00061,0.88889,1,0.25317,0.000285945,0.000285945,0.000285945
68,87.2695,0.00087,0.88889,1,0.24792,0.000281986,0.000281986,0.000281986
69,90.8017,0.00046,0.88889,1,0.23987,0.00027778,0.00027778,0.00027778
70,91.1742,0.00043,0.88889,1,0.23462,0.000273326,0.000273326,0.000273326
71,91.6117,0.00032,0.88889,1,0.23145,0.000268625,0.000268625,0.000268625
72,92.0931,0.00075,0.88889,1,0.2262,0.000263676,0.000263676,0.000263676
73,95.8269,0.00051,0.88889,1,0.21643,0.00025848,0.00025848,0.00025848
74,96.1701,0.00082,0.88889,1,0.21594,0.000253036,0.000253036,0.000253036
75,96.5528,0.00059,0.88889,1,0.2124,0.000247345,0.000247345,0.000247345
76,96.9824,0.00206,0.88889,1,0.21594,0.000241406,0.000241406,0.000241406
77,100.561,0.0029,0.88889,1,0.20667,0.00023522,0.00023522,0.00023522
78,100.91,0.00046,0.88889,1,0.20325,0.000228786,0.000228786,0.000228786
79,101.299,0.0007,0.88889,1,0.19934,0.000222105,0.000222105,0.000222105
80,101.675,0.00124,0.88889,1,0.19434,0.000215176,0.000215176,0.000215176
81,105.362,0.00053,0.88889,1,0.19714,0.000208,0.000208,0.000208
82,105.713,0.00055,0.88889,1,0.19519,0.000200576,0.000200576,0.000200576
83,106.078,0.00093,0.88889,1,0.19275,0.000192905,0.000192905,0.000192905
84,106.456,0.00121,0.88889,1,0.19214,0.000184986,0.000184986,0.000184986
85,109.991,0.00042,0.88889,1,0.19263,0.00017682,0.00017682,0.00017682
86,110.349,0.00046,0.88889,1,0.18896,0.000168406,0.000168406,0.000168406
87,110.803,0.00043,0.88889,1,0.19287,0.000159745,0.000159745,0.000159745
88,111.181,0.00103,0.88889,1,0.1925,0.000150836,0.000150836,0.000150836
89,114.949,0.00043,0.88889,1,0.19299,0.00014168,0.00014168,0.00014168
90,115.305,0.00065,0.88889,1,0.19153,0.000132276,0.000132276,0.000132276
91,124.786,0.0004,0.88889,1,0.18823,0.000122625,0.000122625,0.000122625
92,125.147,0.00041,0.88889,1,0.18909,0.000112726,0.000112726,0.000112726
93,125.522,0.0006,0.88889,1,0.18921,0.00010258,0.00010258,0.00010258
94,125.898,0.0012,0.88889,1,0.19043,9.21862e-05,9.21862e-05,9.21862e-05
95,129.736,0.00054,0.88889,1,0.1886,8.1545e-05,8.1545e-05,8.1545e-05
96,130.071,0.0005,0.88889,1,0.18701,7.06563e-05,7.06563e-05,7.06563e-05
97,130.44,0.00045,0.88889,1,0.1853,5.952e-05,5.952e-05,5.952e-05
98,130.822,0.00037,0.88889,1,0.18262,4.81363e-05,4.81363e-05,4.81363e-05
99,134.397,0.00086,0.88889,1,0.17908,3.6505e-05,3.6505e-05,3.6505e-05
100,134.824,0.00041,0.88889,1,0.18127,2.46263e-05,2.46263e-05,2.46263e-05
